# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-332.42387889	-0.65729015
-332.39052248	-0.46737857
-332.35716607	-0.26967034
-332.32380966	-0.08301725
-332.29045325	0.09181504
-332.25709684	0.24938599
-332.22374043	0.39315401
-332.19038402	0.51221924
-332.15702761	0.60994454
-332.12367120	0.68359642
-332.09031479	0.73489449
-332.05695838	0.76422638
-332.02360197	0.77778554
-331.99024557	0.77964362
-331.95688916	0.77271201
-331.92353275	0.75866914
-331.89017634	0.73675797
-331.85681993	0.70615647
-331.82346352	0.66488687
-331.79010711	0.61508225
-331.75675070	0.55667538
-331.72339429	0.49309303
-331.69003788	0.42418290
-331.65668147	0.35634140
-331.62332506	0.28809655
-331.58996865	0.22162998
-331.55661224	0.15596195
-331.52325583	0.09378182
-331.48989942	0.03329024
-331.45654301	-0.02351898
-331.42318660	-0.07699640
-331.38983019	-0.12260675
-331.35647378	-0.16089284
-331.32311737	-0.19022006
-331.28976097	-0.21100604
-331.25640456	-0.22377473
-331.22304815	-0.23016113
-331.18969174	-0.23042727
-331.15633533	-0.22383255
-331.12297892	-0.20909378
-331.08962251	-0.18449804
-331.05626610	-0.14974347
-331.02290969	-0.10572312
-330.98955328	-0.05726855
-330.95619687	-0.00688196
-330.92284046	0.04041915
-330.88948405	0.08237286
-330.85612764	0.11450558
-330.82277123	0.13680323
-330.78941482	0.14694242
-330.75605841	0.14353330
-330.72270200	0.12590851
-330.68934559	0.09350787
-330.65598918	0.04854718
-330.62263277	-0.00689523
-330.58927637	-0.06438002
-330.55591996	-0.11944856
-330.52256355	-0.16444103
-330.48920714	-0.19467772
-330.45585073	-0.20764144
-330.42249432	-0.20537530
-330.38913791	-0.19101349
-330.35578150	-0.16819311
-330.32242509	-0.14173673
-330.28906868	-0.11203959
-330.25571227	-0.07961373
-330.22235586	-0.04313679
-330.18899945	-0.00279225
-330.15564304	0.04235184
-330.12228663	0.08860324
-330.08893022	0.13289685
-330.05557381	0.16775497
-330.02221740	0.18981948
-329.98886099	0.19454840
-329.95550458	0.18066344
-329.92214817	0.14947935
-329.88879177	0.10264107
-329.85543536	0.04478946
-329.82207895	-0.02061330
-329.78872254	-0.08402091
-329.75536613	-0.14071189
-329.72200972	-0.18304802
-329.68865331	-0.20611553
-329.65529690	-0.20797359
-329.62194049	-0.19044103
-329.58858408	-0.15788803
-329.55522767	-0.11593104
-329.52187126	-0.07392985
-329.48851485	-0.03694353
-329.45515844	-0.01191794
-329.42180203	-0.00210470
-329.38844562	-0.00844539
-329.35508921	-0.02945956
-329.32173280	-0.06128337
-329.28837639	-0.09977770
-329.25501998	-0.13707493
-329.22166358	-0.16842333
-329.18830717	-0.18720949
-329.15495076	-0.18956105
-329.12159435	-0.17418850
-329.08823794	-0.14205641
-329.05488153	-0.09733418
-329.02152512	-0.04539255
-328.98816871	0.00427154
-328.95481230	0.04690699
-328.92145589	0.07640202
-328.88809948	0.09033967
-328.85474307	0.08925900
-328.82138666	0.07676770
-328.78803025	0.05784569
-328.75467384	0.03764545
-328.72131743	0.02167192
-328.68796102	0.01203431
-328.65460461	0.01024341
-328.62124820	0.01627533
-328.58789179	0.02859358
-328.55453538	0.04662393
-328.52117898	0.06847010
-328.48782257	0.09349716
-328.45446616	0.11816274
-328.42110975	0.14096682
-328.38775334	0.15886487
-328.35439693	0.16977172
-328.32104052	0.17208794
-328.28768411	0.16601491
-328.25432770	0.15179655
-328.22097129	0.12918521
-328.18761488	0.10016191
-328.15425847	0.06422977
-328.12090206	0.02354567
-328.08754565	-0.02038118
-328.05418924	-0.06352619
-328.02083283	-0.10425751
-327.98747642	-0.13912306
-327.95412001	-0.16610169
-327.92076360	-0.18155836
-327.88740719	-0.18482683
-327.85405078	-0.17544499
-327.82069438	-0.15381271
-327.78733797	-0.12220008
-327.75398156	-0.08193842
-327.72062515	-0.03599707
-327.68726874	0.01396098
-327.65391233	0.06082204
-327.62055592	0.10159426
-327.58719951	0.13121129
-327.55384310	0.14692038
-327.52048669	0.14679358
-327.48713028	0.13267653
-327.45377387	0.10913907
-327.42041746	0.08093813
-327.38706105	0.05622535
-327.35370464	0.03851933
-327.32034823	0.02841622
-327.28699182	0.02421237
-327.25363541	0.02159264
-327.22027900	0.01603062
-327.18692259	0.00507683
-327.15356618	-0.01185240
-327.12020978	-0.03169884
-327.08685337	-0.05127465
-327.05349696	-0.06737925
-327.02014055	-0.07780003
-326.98678414	-0.08074912
-326.95342773	-0.07549316
-326.92007132	-0.06187581
-326.88671491	-0.03914693
-326.85335850	-0.00985938
-326.82000209	0.02410200
-326.78664568	0.05938956
-326.75328927	0.09335832
-326.71993286	0.12035368
-326.68657645	0.13797399
-326.65322004	0.14381862
-326.61986363	0.13640494
-326.58650722	0.11642592
-326.55315081	0.08643577
-326.51979440	0.04982321
-326.48643799	0.00957165
-326.45308158	-0.02808724
-326.41972518	-0.06036401
-326.38636877	-0.08500889
-326.35301236	-0.10125536
-326.31965595	-0.10791432
-326.28629954	-0.10703043
-326.25294313	-0.10037455
-326.21958672	-0.08857736
-326.18623031	-0.07333238
-326.15287390	-0.05489693
-326.11951749	-0.03396692
-326.08616108	-0.01047823
-326.05280467	0.01262299
-326.01944826	0.03425551
-325.98609185	0.05390253
-325.95273544	0.07144694
-325.91937903	0.08608362
-325.88602262	0.09835813
-325.85266621	0.10791192
-325.81930980	0.11435667
-325.78595339	0.11514287
-325.75259698	0.10881224
-325.71924058	0.09469208
-325.68588417	0.07222437
-325.65252776	0.04482408
-325.61917135	0.01547787
-325.58581494	-0.01229024
-325.55245853	-0.03656609
-325.51910212	-0.05387775
-325.48574571	-0.06508571
-325.45238930	-0.07195616
-325.41903289	-0.07594158
-325.38567648	-0.07799140
-325.35232007	-0.07852350
-325.31896366	-0.07790827
-325.28560725	-0.07576109
-325.25225084	-0.07270454
-325.21889443	-0.06800719
-325.18553802	-0.06088400
-325.15218161	-0.05032382
-325.11882520	-0.03636326
-325.08546879	-0.01948791
-325.05211239	-0.00151829
-325.01875598	0.01583571
-324.98539957	0.02829799
-324.95204316	0.03466805
-324.91868675	0.03500086
-324.88533034	0.03077750
-324.85197393	0.02480141
-324.81861752	0.02004102
-324.78526111	0.01824572
-324.75190470	0.02087077
-324.71854829	0.02732444
-324.68519188	0.03663590
-324.65183547	0.04744613
-324.61847906	0.05906141
-324.58512265	0.06957749
-324.55176624	0.07761908
-324.51840983	0.08157595
-324.48505342	0.07969477
-324.45169701	0.07100544
-324.41834060	0.05646526
-324.38498419	0.03824111
-324.35162779	0.01809178
-324.31827138	-0.00000225
-324.28491497	-0.01407722
-324.25155856	-0.02357160
-324.21820215	-0.02896918
-324.18484574	-0.03078039
-324.15148933	-0.03111341
-324.11813292	-0.03084807
-324.08477651	-0.03077854
-324.05142010	-0.03125941
-324.01806369	-0.03230287
-323.98470728	-0.03393521
-323.95135087	-0.03618694
-323.91799446	-0.03904789
-323.88463805	-0.04258561
-323.85128164	-0.04651991
-323.81792523	-0.05103717
-323.78456882	-0.05526280
-323.75121241	-0.05883872
-323.71785600	-0.06085706
-323.68449959	-0.06059761
-323.65114319	-0.05769584
-323.61778678	-0.05224513
-323.58443037	-0.04402434
-323.55107396	-0.03285018
-323.51771755	-0.01897070
-323.48436114	-0.00144029
