# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-348.40159905	0.02739951
-348.36824264	0.02679082
-348.33488623	0.02657446
-348.30152982	0.02657624
-348.26817341	0.02662912
-348.23481700	0.02694376
-348.20146059	0.02740388
-348.16810418	0.02845637
-348.13474777	0.03027812
-348.10139136	0.03271517
-348.06803495	0.03504832
-348.03467854	0.03673395
-348.00132213	0.03661434
-347.96796573	0.03443832
-347.93460932	0.02976686
-347.90125291	0.02352231
-347.86789650	0.01653881
-347.83454009	0.00985102
-347.80118368	0.00445398
-347.76782727	0.00106071
-347.73447086	-0.00021474
-347.70111445	0.00067266
-347.66775804	0.00293127
-347.63440163	0.00591476
-347.60104522	0.00903617
-347.56768881	0.01166762
-347.53433240	0.01354553
-347.50097599	0.01460068
-347.46761958	0.01495959
-347.43426317	0.01481940
-347.40090676	0.01458758
-347.36755035	0.01441912
-347.33419394	0.01431710
-347.30083753	0.01411589
-347.26748113	0.01308515
-347.23412472	0.01109221
-347.20076831	0.00790539
-347.16741190	0.00383278
-347.13405549	-0.00002537
-347.10069908	-0.00283881
-347.06734267	-0.00374508
-347.03398626	-0.00239371
-347.00062985	0.00085167
-346.96727344	0.00589171
-346.93391703	0.01113721
-346.90056062	0.01581127
-346.86720421	0.01877250
-346.83384780	0.02008243
-346.80049139	0.02012596
-346.76713498	0.01879588
-346.73377857	0.01706097
-346.70042216	0.01476625
-346.66706575	0.01234557
-346.63370934	0.00994966
-346.60035293	0.00758204
-346.56699653	0.00526383
-346.53364012	0.00339832
-346.50028371	0.00218821
-346.46692730	0.00160241
-346.43357089	0.00214826
-346.40021448	0.00345041
-346.36685807	0.00557041
-346.33350166	0.00764919
-346.30014525	0.00902306
-346.26678884	0.00911062
-346.23343243	0.00719698
-346.20007602	0.00334506
-346.16671961	-0.00271950
-346.13336320	-0.00994025
-346.10000679	-0.01766000
-346.06665038	-0.02426997
-346.03329397	-0.02935602
-345.99993756	-0.03243230
-345.96658115	-0.03377892
-345.93322474	-0.03405342
-345.89986833	-0.03376208
-345.86651193	-0.03338666
-345.83315552	-0.03337659
-345.79979911	-0.03364749
-345.76644270	-0.03400776
-345.73308629	-0.03447090
-345.69972988	-0.03491495
-345.66637347	-0.03530896
-345.63301706	-0.03557323
-345.59966065	-0.03573645
-345.56630424	-0.03502649
-345.53294783	-0.03329012
-345.49959142	-0.03014517
-345.46623501	-0.02590027
-345.43287860	-0.02056008
-345.39952219	-0.01493045
-345.36616578	-0.00910383
-345.33280937	-0.00343219
-345.29945296	0.00223305
-345.26609655	0.00790994
-345.23274014	0.01418547
-345.19938373	0.02100759
-345.16602733	0.02817709
-345.13267092	0.03486992
-345.09931451	0.04034238
-345.06595810	0.04329138
-345.03260169	0.04319230
-344.99924528	0.04028115
-344.96588887	0.03507346
-344.93253246	0.02869692
-344.89917605	0.02207868
-344.86581964	0.01617679
-344.83246323	0.01141482
-344.79910682	0.00815284
-344.76575041	0.00646723
-344.73239400	0.00642135
-344.69903759	0.00769899
-344.66568118	0.01002929
-344.63232477	0.01331104
-344.59896836	0.01717620
-344.56561195	0.02109203
-344.53225554	0.02449601
-344.49889914	0.02731728
-344.46554273	0.02914857
-344.43218632	0.02974772
-344.39882991	0.02971351
-344.36547350	0.02874221
-344.33211709	0.02721247
-344.29876068	0.02506399
-344.26540427	0.02259327
-344.23204786	0.01986356
-344.19869145	0.01726461
-344.16533504	0.01509884
-344.13197863	0.01336453
-344.09862222	0.01244396
-344.06526581	0.01222472
-344.03190940	0.01247746
-343.99855299	0.01314054
-343.96519658	0.01422331
-343.93184017	0.01515213
-343.89848376	0.01607686
-343.86512735	0.01669059
-343.83177094	0.01705141
-343.79841454	0.01673613
-343.76505813	0.01599259
-343.73170172	0.01460815
