# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-346.20007602	0.01198040
-346.16671961	0.01521800
-346.13336320	0.01808205
-346.10000679	0.01995308
-346.06665038	0.02083842
-346.03329397	0.02126941
-345.99993756	0.02161115
-345.96658115	0.02241278
-345.93322474	0.02370456
-345.89986833	0.02526924
-345.86651193	0.02683850
-345.83315552	0.02786836
-345.79979911	0.02826604
-345.76644270	0.02795856
-345.73308629	0.02691581
-345.69972988	0.02551724
-345.66637347	0.02356813
-345.63301706	0.02113642
-345.59966065	0.01788636
-345.56630424	0.01395044
-345.53294783	0.00964508
-345.49959142	0.00467847
-345.46623501	-0.00048342
-345.43287860	-0.00528737
-345.39952219	-0.00932264
-345.36616578	-0.01211239
-345.33280937	-0.01270522
-345.29945296	-0.01069658
-345.26609655	-0.00621921
-345.23274014	0.00084036
-345.19938373	0.00930421
-345.16602733	0.01749950
-345.13267092	0.02474755
-345.09931451	0.03110805
-345.06595810	0.03622442
-345.03260169	0.03995779
-344.99924528	0.04190445
-344.96588887	0.04213380
-344.93253246	0.04023088
-344.89917605	0.03618601
-344.86581964	0.03096402
-344.83246323	0.02465315
-344.79910682	0.01864283
-344.76575041	0.01387874
-344.73239400	0.01067201
-344.69903759	0.00945885
-344.66568118	0.01031390
-344.63232477	0.01281770
-344.59896836	0.01667178
-344.56561195	0.02118323
-344.53225554	0.02562552
-344.49889914	0.02961131
-344.46554273	0.03214511
-344.43218632	0.03327084
-344.39882991	0.03283169
-344.36547350	0.03118498
-344.33211709	0.02897272
-344.29876068	0.02683471
-344.26540427	0.02548908
-344.23204786	0.02531480
-344.19869145	0.02639635
-344.16533504	0.02795409
-344.13197863	0.02934811
-344.09862222	0.02997727
-344.06526581	0.03008592
-344.03190940	0.02994095
-343.99855299	0.03038029
-343.96519658	0.03141276
-343.93184017	0.03298388
-343.89848376	0.03422665
-343.86512735	0.03386681
-343.83177094	0.03062559
-343.79841454	0.02492031
-343.76505813	0.01729796
-343.73170172	0.00930463
-343.69834531	0.00288411
-343.66498890	-0.00085218
-343.63163249	-0.00217110
-343.59827608	-0.00166112
-343.56491967	0.00019155
-343.53156326	0.00286145
-343.49820685	0.00686804
-343.46485044	0.01271779
-343.43149403	0.02058313
-343.39813762	0.02979443
-343.36478121	0.03968659
-343.33142480	0.04869152
-343.29806839	0.05440000
-343.26471198	0.05606021
-343.23135557	0.05347390
-343.19799916	0.04666193
-343.16464275	0.03719026
-343.13128634	0.02681534
-343.09792994	0.01609983
-343.06457353	0.00597555
-343.03121712	-0.00248738
